borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_sqft,gross_sqft,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,borough_name,source_file,tax_class_as_of_final_roll_17/18,building_class_as_of_final_roll_17/18,tax_class_as_of_final_roll_18/19,building_class_as_of_final_roll_18/19,borough_str,pop_density,avg_income,gdp_local,dist_center,amenity_score,is_residential,price_per_sqft_real,sale_date_parsed,sale_month,borough_clean,sale_year,building_age
2.0,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3035.0,5.0, ,A9,451 EAST 178 STREET                      ,            ,10457.0,1.0,0.0,1.0,1287.0,1992.0,1899.0,1.0,A9,0.0,2009-12-07,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.15,,0.0,2009-07-12,7.0,2,2009.0,110.0
2.0,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046.0,42.0, ,A1,2069 BATHGATE AVENUE                     ,            ,10457.0,1.0,0.0,1.0,1964.0,1424.0,1899.0,1.0,A1,100.0,2009-04-28,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.15,,0.0702247191011236,,,2,,
2.0,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046.0,42.0, ,A1,2069 BATHGATE AVE                        ,            ,10457.0,1.0,0.0,1.0,1964.0,1424.0,1899.0,1.0,A1,100.0,2009-04-13,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.15,,0.0702247191011236,,,2,,
2.0,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048.0,19.0, ,A5,2186 BATHGATE AVENUE                     ,            ,10457.0,1.0,0.0,1.0,1768.0,1188.0,1901.0,1.0,A5,345752.0,2009-03-16,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.15,,291.037037037037,,,2,,
2.0,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048.0,28.0, ,A1,540 EAST 182ND STREET                    ,            ,10457.0,1.0,0.0,1.0,1209.0,1048.0,1901.0,1.0,A1,0.0,2009-05-14,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.15,,0.0,,,2,,
2.0,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3053.0,105.0, ,A1,2323 BASSFORD AVENUE                     ,            ,10458.0,1.0,0.0,1.0,922.0,1248.0,1901.0,1.0,A1,0.0,2009-01-22,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.15,,0.0,,,2,,
2.0,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030.0,71.0, ,B2,4443 PARK AVENUE                         ,            ,10457.0,2.0,0.0,2.0,2352.0,1632.0,1899.0,1.0,B2,135000.0,2009-05-08,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.3,,82.72058823529412,2009-08-05,8.0,2,2009.0,110.0
2.0,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030.0,76.0, ,B2,4435 PARK AVENUE                         ,            ,10457.0,2.0,0.0,2.0,2444.0,2125.0,1899.0,1.0,B2,325000.0,2009-03-30,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.3,,152.94117647058823,,,2,,
2.0,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035.0,131.0, ,B1,464 EAST 179TH                           ,            ,10457.0,2.0,0.0,2.0,1790.0,2340.0,1998.0,1.0,B1,0.0,2009-10-07,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.3,,0.0,2009-07-10,7.0,2,2009.0,11.0
2.0,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036.0,33.0, ,B3,2091 WASHINGTON AVE                      ,            ,10457.0,2.0,0.0,2.0,2022.0,3854.0,1899.0,1.0,B3,0.0,2009-05-08,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.3,,0.0,2009-08-05,8.0,2,2009.0,110.0
2.0,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036.0,62.0, ,B1,459 EAST 179 STREET                      ,            ,10457.0,2.0,0.0,2.0,2000.0,2340.0,1998.0,1.0,B1,344500.0,2009-11-20,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.3,,147.22222222222223,,,2,,
2.0,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036.0,62.0, ,B1,459 EAST 179TH STREET                    ,            ,10457.0,2.0,0.0,2.0,2000.0,2340.0,1998.0,1.0,B1,316474.0,2009-05-04,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.3,,135.24529914529916,2009-04-05,4.0,2,2009.0,11.0
2.0,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3037.0,6.0, ,B2,4392 PARK AVENUE                         ,            ,10457.0,2.0,0.0,2.0,2275.0,3240.0,1899.0,1.0,B2,359038.0,2009-01-19,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.3,,110.8141975308642,,,2,,
2.0,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039.0,12.0, ,B2,454 EAST 185TH STREET                    ,            ,10458.0,2.0,0.0,2.0,1667.0,1944.0,1910.0,1.0,B2,183028.0,2009-11-02,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.3,,94.15020576131688,2009-02-11,2.0,2,2009.0,99.0
2.0,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039.0,45.0, ,B1,446 EAST 186 STREET                      ,            ,10458.0,2.0,0.0,2.0,2000.0,2060.0,1901.0,1.0,B1,286000.0,2009-10-09,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.3,,138.83495145631068,2009-09-10,9.0,2,2009.0,108.0
2.0,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3047.0,16.0, ,B2,2125 BATHGATE AVENUE                     ,            ,10457.0,2.0,0.0,2.0,3362.0,1744.0,1901.0,1.0,B2,0.0,2009-04-03,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.3,,0.0,2009-03-04,3.0,2,2009.0,108.0
2.0,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050.0,94.0, ,B2,2240 BASSFORD AVENUE                     ,            ,10457.0,2.0,0.0,2.0,1300.0,2300.0,1901.0,1.0,B2,389000.0,2009-07-28,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.3,,169.1304347826087,,,2,,
2.0,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3053.0,22.0, ,S2,511 EAST 183 STREET                      ,            ,10458.0,2.0,1.0,3.0,2011.0,4280.0,1901.0,1.0,S2,1.0,2009-11-18,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.45,,0.000233644859813,,,2,,
2.0,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3053.0,22.0, ,S2,511 EAST 183RD STREET                    ,            ,10458.0,2.0,1.0,3.0,2011.0,4280.0,1901.0,1.0,S2,415440.0,2009-08-24,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.45,,97.06542056074768,,,2,,
2.0,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,2912.0,116.0, ,C0,1536 WASHINGTON AVENUE                   ,            ,10457.0,3.0,0.0,3.0,2000.0,2400.0,1993.0,1.0,C0,319500.0,2009-10-07,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.45,,133.125,2009-07-10,7.0,2,2009.0,16.0
2.0,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,2912.0,116.0, ,C0,1536 WASHINGTON AVENUE                   ,            ,10457.0,3.0,0.0,3.0,2000.0,2400.0,1993.0,1.0,C0,100.0,2009-01-12,Unknown,2009_bronx.xls,1,D4,1,D4,2.0,72000,88000,6.8,2.0,5.45,,0.0416666666666666,2009-12-01,12.0,2,2009.0,16.0
