borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_sqft,gross_sqft,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,borough_name,source_file,tax_class_as_of_final_roll_17/18,building_class_as_of_final_roll_17/18,tax_class_as_of_final_roll_18/19,building_class_as_of_final_roll_18/19,borough_str,pop_density,avg_income,gdp_local,dist_center,amenity_score,is_residential,price_per_sqft_real,sale_date_parsed,sale_month,borough_clean,sale_year,building_age
1.0,KIPS BAY                 ,08  RENTALS - ELEVATOR APARTMENTS           ,2,972.0,1.0, ,D7,240 1 AVENUE                             ,            ,10009.0,8759.0,46.0,8805.0,2675000.0,8942176.0,1945.0,2.0,D7,4111111766.0,2015-12-18,Unknown,2015_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,459.7440003417513,,,1,,
1.0,KIPS BAY                 ,08  RENTALS - ELEVATOR APARTMENTS           ,2,972.0,1.0, ,D7,240 1 AVENUE                             ,            ,10009.0,8756.0,44.0,8800.0,2675000.0,8942176.0,1945.0,2.0,D7,4040527000.0,2006-11-17,Unknown,sales_manhattan_06.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,451.8505339192608,,,1,,
1.0,KIPS BAY                 ,08  RENTALS - ELEVATOR APARTMENTS           ,2,972.0,1.0, ,D7,240 1 AVENUE                             ,            ,10009.0,8756.0,44.0,8800.0,2675000.0,8942176.0,1945.0,2.0,D7,3330132711.0,2014-06-03,Unknown,2014_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,372.4074219742488,2014-03-06,3.0,1,2014.0,69.0
1.0,MIDTOWN CBD              ,21  OFFICE BUILDINGS                        ,4,1294.0,1.0, ,O4,761 5 AVENUE                             ,            ,10022.0,0.0,1.0,1.0,84350.0,1824820.0,1968.0,4.0,O4,2800000000.0,2008-06-09,Unknown,sales_2008_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,1534.397913218838,2008-09-06,9.0,1,2008.0,40.0
1.0,CHELSEA,21 OFFICE BUILDINGS,1,713.0,1.0, ,D4,75 9 AVENUE,            ,10011.0,0.0,167.0,167.0,165200.0,1100533.0,1905.0,4.0,O6,2397501899.0,2018-03-20,Unknown,2018_manhattan.xlsx,1,D4,4,O6,1.0,72000,88000,6.8,2.0,10.0,,2178.4916027052345,,,1,,
1.0,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,1,1301.0,1.0, ,D4,245 PARK AVENUE, ,10167.0,0.0,35.0,35.0,81336.0,1586886.0,1966.0,4.0,O4,2210000000.0,2017-05-05,Unknown,2017_manhattan.xls,4,O4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,1392.6646274527598,2017-05-05,5.0,1,2017.0,51.0
1.0,MIDTOWN WEST             ,43  CONDO OFFICE BUILDINGS                  ,4,994.0,1001.0, ,RB,1095 AVENUE OF THE AMER                  ,UP          ,10036.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,RB,2200000000.0,2015-01-15,Unknown,2015_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,,,,1,,
1.0,JAVITS CENTER,43 CONDO OFFICE BUILDINGS,1,702.0,1302.0, ,D4,"30 HUDSON YARDS, TW",TW,10001.0,0.0,1.0,1.0,0.0,0.0,2015.0,4.0,RB,2155000000.0,2019-06-14,Unknown,2019_manhattan.xlsx,1,D4,4,RB,1.0,72000,88000,6.8,2.0,5.15,,,,,1,,
1.0,MIDTOWN CBD              ,46  CONDO STORE BUILDINGS                   ,4,1285.0,1001.0, ,RK,611 5 AVENUE                             ,A           ,10022.0,0.0,0.0,1.0,0.0,0.0,1923.0,4.0,RK,2100000000.0,2014-12-03,Unknown,2014_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,,2014-03-12,3.0,1,2014.0,91.0
1.0,MIDTOWN WEST             ,21  OFFICE BUILDINGS                        ,4,1004.0,20.0, ,O4,787 7 AVENUE                             ,            ,10019.0,0.0,48.0,48.0,80333.0,1638637.0,1985.0,4.0,O4,1932900000.0,2016-01-27,Unknown,2016_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,1179.5779052956816,,,1,,
